0,(0,[(1,Rp)],1,Rp,1.0),(1,[(2,Lp),(3,Rp),(4,Rp),(5,Rp),(6,Lp)],4,Rp,0.6)
1,(0,[(4,Rp)],4,Rp,1.0),(1,[(1,Rp),(2,Lp),(3,Rp),(5,Rp),(6,Lp)],5,Rp,0.6)
2,(0,[(2,Lp),(3,Rp),(5,Rp),(6,Lp)],2,Lp,0.5),(1,[(1,Rp),(4,Rp)],1,Rp,1.0)
3,(0,[(2,Lp),(3,Rp),(4,Rp),(5,Rp),(6,Lp)],4,Rp,0.6),(1,[(1,Rp)],1,Rp,1.0)
4,(0,[(1,Rp),(2,Lp),(3,Rp),(5,Rp),(6,Lp)],5,Rp,0.6),(1,[(4,Rp)],4,Rp,1.0)
5,(0,[(1,Rp),(4,Rp)],1,Rp,1.0),(1,[(2,Lp),(3,Rp),(5,Rp),(6,Lp)],2,Lp,0.5)
6,(0,[(1,Rp)],1,Rp,1.0),(1,[(2,Lp),(3,Rp),(4,Rp),(5,Rp),(6,Lp)],4,Rp,0.6)
7,(0,[(4,Rp)],4,Rp,1.0),(1,[(1,Rp),(2,Lp),(3,Rp),(5,Rp),(6,Lp)],5,Rp,0.6)
8,(0,[(2,Lp),(3,Rp),(5,Rp),(6,Lp)],2,Lp,0.5),(1,[(1,Rp),(4,Rp)],1,Rp,1.0)
9,(0,[(2,Lp),(3,Rp),(4,Rp),(5,Rp),(6,Lp)],4,Rp,0.6),(1,[(1,Rp)],1,Rp,1.0)
10,(0,[(1,Rp),(2,Lp),(3,Rp),(5,Rp),(6,Lp)],5,Rp,0.6),(1,[(4,Rp)],4,Rp,1.0)
11,(0,[(1,Rp),(4,Rp)],1,Rp,1.0),(1,[(2,Lp),(3,Rp),(5,Rp),(6,Lp)],2,Lp,0.5)
